epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21073,1.81194,3.84772,1.81761,0.00192,0.2,0.199,0.09683,1.91202,4.56709,2.19907,0,0,0
2,16.184,1.59468,3.84442,1.61607,0.00194,0.2,0.199,0.10003,1.91401,4.56411,2.18192,1.1e-05,1.1e-05,1.1e-05
3,23.1802,1.713,3.91367,1.69295,0.0021,0.2,0.199,0.09805,1.86607,4.51695,2.14648,2.178e-05,2.178e-05,2.178e-05
4,35.8039,1.83112,3.78633,1.95319,0.00235,0.2,0.199,0.09876,1.77138,4.47188,2.06592,3.23401e-05,3.23401e-05,3.23401e-05
5,45.1794,1.80888,3.89989,1.76747,0.00283,0.2,0.199,0.10018,1.73609,4.45357,1.98431,4.26802e-05,4.26802e-05,4.26802e-05
6,52.9357,1.49104,3.89448,1.65556,0.00382,0.2,0.199,0.09965,1.6583,4.40801,1.90148,5.28003e-05,5.28003e-05,5.28003e-05
7,60.342,1.86101,3.81027,2.01288,0.00541,0.2,0.199,0.11314,1.55478,4.38548,1.81296,6.27004e-05,6.27004e-05,6.27004e-05
8,67.6851,1.49686,3.75117,1.66177,0.009,0.26667,0.20573,0.11306,1.54284,4.31759,1.79804,7.23805e-05,7.23805e-05,7.23805e-05
9,74.7785,1.30847,3.62094,1.49471,0.01053,0.26667,0.20337,0.11846,1.49482,4.27185,1.76686,8.18407e-05,8.18407e-05,8.18407e-05
10,81.9834,1.30824,3.47654,1.42493,0.01171,0.33333,0.20348,0.12203,1.48311,4.26115,1.71477,9.10809e-05,9.10809e-05,9.10809e-05
11,89.0894,1.58404,3.58617,1.76265,0.01229,0.33333,0.21382,0.12399,1.50095,4.25433,1.73864,0.000100101,0.000100101,0.000100101
12,96.3183,1.40331,3.36215,1.38778,0.01295,0.33333,0.20599,0.11865,1.445,4.21836,1.63665,0.000108901,0.000108901,0.000108901
13,103.383,1.21637,3.15384,1.3337,0.01312,0.33333,0.18978,0.10985,1.35278,4.15895,1.54027,0.000117482,0.000117482,0.000117482
14,111.012,1.33665,3.06842,1.52473,0.01327,0.33333,0.20837,0.1195,1.30822,4.12725,1.52543,0.000125842,0.000125842,0.000125842
15,118.086,1.4356,2.9827,1.46209,0.01296,0.33333,0.2106,0.11633,1.37513,4.08032,1.52323,0.000133982,0.000133982,0.000133982
16,125.186,1.38384,2.70192,1.39115,0.01166,0.33333,0.21329,0.12289,1.3973,4.049,1.54951,0.000141902,0.000141902,0.000141902
17,132.305,1.23812,2.56255,1.25905,0.01122,0.33333,0.2027,0.10972,1.42505,3.95688,1.55477,0.000149603,0.000149603,0.000149603
18,140.748,1.13431,2.35106,1.24957,0.01122,0.33333,0.2027,0.10972,1.42505,3.95688,1.55477,0.000157083,0.000157083,0.000157083
19,149.549,1.14976,2.2923,1.33275,0.01008,0.33333,0.19819,0.1089,1.50038,3.96055,1.58202,0.000164344,0.000164344,0.000164344
20,157.002,0.9656,2.14525,1.22476,0.01008,0.33333,0.19819,0.1089,1.50038,3.96055,1.58202,0.000171384,0.000171384,0.000171384
21,164.665,1.3202,2.38701,1.36909,1,0.18317,0.21914,0.12175,1.51416,3.85405,1.56958,0.000178204,0.000178204,0.000178204
22,172.961,1.20666,2.11424,1.36489,1,0.18317,0.21914,0.12175,1.51416,3.85405,1.56958,0.000184805,0.000184805,0.000184805
23,182.052,1.28561,2.37619,1.44912,1,0.11275,0.24425,0.1389,1.48496,3.87873,1.55135,0.000191185,0.000191185,0.000191185
24,189.478,1.07334,1.7621,1.20582,1,0.11275,0.24425,0.1389,1.48496,3.87873,1.55135,0.000197346,0.000197346,0.000197346
25,198.135,1.27179,2.1701,1.33621,1,0.11846,0.24265,0.14062,1.47212,3.81841,1.52711,0.000203286,0.000203286,0.000203286
26,206.234,1.17796,1.79041,1.28715,1,0.11846,0.24265,0.14062,1.47212,3.81841,1.52711,0.000209007,0.000209007,0.000209007
27,216.321,1.19864,2.04629,1.25818,1,0.12422,0.24051,0.14209,1.45562,3.79379,1.4856,0.000214507,0.000214507,0.000214507
28,224.933,1.11086,1.75216,1.21898,1,0.12422,0.24051,0.14209,1.45562,3.79379,1.4856,0.000219788,0.000219788,0.000219788
29,232.622,1.2466,2.04135,1.38154,1,0.12633,0.21226,0.13895,1.45085,3.77403,1.50036,0.000224849,0.000224849,0.000224849
30,239.577,1.22435,1.87918,1.29848,1,0.12633,0.21226,0.13895,1.45085,3.77403,1.50036,0.000229689,0.000229689,0.000229689
31,247.272,1.18847,1.87542,1.34183,1,0.12691,0.19968,0.13376,1.44838,3.76787,1.50285,0.00023431,0.00023431,0.00023431
32,257.06,1.08896,1.69628,1.1558,1,0.12691,0.19968,0.13376,1.44838,3.76787,1.50285,0.000238711,0.000238711,0.000238711
33,266.369,1.13592,1.74981,1.19948,0.99071,0.06667,0.15081,0.10773,1.44702,3.76509,1.50496,0.000242891,0.000242891,0.000242891
34,276.933,1.07881,1.76192,1.28304,0.99071,0.06667,0.15081,0.10773,1.44702,3.76509,1.50496,0.000246852,0.000246852,0.000246852
35,286.285,1.23261,2.16557,1.52966,0.98925,0.06667,0.13944,0.10202,1.46342,3.73875,1.51358,0.000250593,0.000250593,0.000250593
36,294.204,1.04825,1.55999,1.20935,0.98925,0.06667,0.13944,0.10202,1.46342,3.73875,1.51358,0.000254113,0.000254113,0.000254113
37,300.542,1.18978,1.88711,1.38825,0.98585,0.06667,0.12019,0.08447,1.45951,3.75818,1.52345,0.000257414,0.000257414,0.000257414
38,307.565,1.09922,2.15493,1.29179,0.98585,0.06667,0.12019,0.08447,1.45951,3.75818,1.52345,0.000260495,0.000260495,0.000260495
39,316.835,1.03525,1.47878,1.14772,0.9816,0.06667,0.1462,0.10514,1.54395,3.7214,1.5704,0.000263356,0.000263356,0.000263356
40,324.446,1.17786,1.77303,1.35376,0.9816,0.06667,0.1462,0.10514,1.54395,3.7214,1.5704,0.000265997,0.000265997,0.000265997
41,332.254,1.05331,1.68762,1.25966,0.97019,0.06667,0.1462,0.10513,1.60358,3.66611,1.57968,0.000268418,0.000268418,0.000268418
42,339.359,1.17193,1.56448,1.14132,0.97019,0.06667,0.1462,0.10513,1.60358,3.66611,1.57968,0.000270618,0.000270618,0.000270618
43,347.289,1.05097,1.4382,1.104,0.86827,0.06987,0.133,0.09873,1.61929,3.674,1.56277,0.000272599,0.000272599,0.000272599
44,355.007,1.05511,1.40601,1.17035,0.86827,0.06987,0.133,0.09873,1.61929,3.674,1.56277,0.00027436,0.00027436,0.00027436
45,362.6,1.01047,1.4618,1.1948,0.87312,0.06667,0.14829,0.11238,1.59485,3.63643,1.52874,0.000275901,0.000275901,0.000275901
46,370.821,1.0993,1.60372,1.33752,0.87312,0.06667,0.14829,0.11238,1.59485,3.63643,1.52874,0.000277222,0.000277222,0.000277222
47,378.906,0.95152,1.29422,1.04839,0.88345,0.10023,0.1332,0.10395,1.53724,3.59566,1.48235,0.000278323,0.000278323,0.000278323
48,388.652,1.00887,1.45623,1.22014,0.88345,0.10023,0.1332,0.10395,1.53724,3.59566,1.48235,0.000279204,0.000279204,0.000279204
49,396.034,0.90625,1.30674,1.07436,0.9072,0.2,0.13848,0.1015,1.49952,3.51267,1.48839,0.000279865,0.000279865,0.000279865
50,402.369,0.90196,1.22779,1.06035,0.9072,0.2,0.13848,0.1015,1.49952,3.51267,1.48839,0.000280306,0.000280306,0.000280306
51,410.146,0.89468,1.30871,1.05739,0.91744,0.19147,0.1401,0.102,1.54308,3.49777,1.50802,0.000280527,0.000280527,0.000280527
52,417.381,1.0626,1.50853,1.29343,0.91744,0.19147,0.1401,0.102,1.54308,3.49777,1.50802,0.000280529,0.000280529,0.000280529
53,424.138,0.93153,1.32304,1.11831,0.91744,0.19147,0.1401,0.102,1.54308,3.49777,1.50802,0.00028031,0.00028031,0.00028031
54,430.606,0.97659,1.37645,1.17008,0.91622,0.1874,0.14328,0.10305,1.59218,3.5109,1.52834,0.000279871,0.000279871,0.000279871
55,438.96,0.9603,1.40764,1.19157,0.91622,0.1874,0.14328,0.10305,1.59218,3.5109,1.52834,0.000279212,0.000279212,0.000279212
56,449.078,0.95208,1.35786,1.09835,0.91622,0.1874,0.14328,0.10305,1.59218,3.5109,1.52834,0.000278333,0.000278333,0.000278333
57,455.866,0.92446,1.28903,1.08341,0.91839,0.19464,0.16892,0.12673,1.62273,3.52094,1.53906,0.000277234,0.000277234,0.000277234
58,463.374,0.98737,1.43363,1.20174,0.91839,0.19464,0.16892,0.12673,1.62273,3.52094,1.53906,0.000275916,0.000275916,0.000275916
59,470.517,0.93007,1.33455,1.18135,0.91839,0.19464,0.16892,0.12673,1.62273,3.52094,1.53906,0.000274377,0.000274377,0.000274377
60,477.647,0.9329,1.26618,1.05749,0.91059,0.2,0.1599,0.12269,1.64761,3.52124,1.54998,0.000272618,0.000272618,0.000272618
61,484.264,0.96561,1.51658,1.18913,0.91059,0.2,0.1599,0.12269,1.64761,3.52124,1.54998,0.00027064,0.00027064,0.00027064
62,491.724,1.03616,1.4277,1.23912,0.91059,0.2,0.1599,0.12269,1.64761,3.52124,1.54998,0.000268441,0.000268441,0.000268441
63,500.979,0.93404,1.26733,1.17951,1,0.13331,0.20022,0.15679,1.70072,3.54476,1.62004,0.000266022,0.000266022,0.000266022
64,507.646,1.00017,1.45893,1.21573,1,0.13331,0.20022,0.15679,1.70072,3.54476,1.62004,0.000263384,0.000263384,0.000263384
65,515.43,0.93128,1.19087,1.00945,1,0.13331,0.20022,0.15679,1.70072,3.54476,1.62004,0.000260525,0.000260525,0.000260525
66,523.143,0.8244,1.28347,1.12202,1,0.18219,0.20028,0.15683,1.7318,3.52518,1.65931,0.000257446,0.000257446,0.000257446
67,529.588,0.86081,1.25438,1.10514,1,0.18219,0.20028,0.15683,1.7318,3.52518,1.65931,0.000254148,0.000254148,0.000254148
68,536.438,0.8385,1.27271,1.09109,1,0.18219,0.20028,0.15683,1.7318,3.52518,1.65931,0.000250629,0.000250629,0.000250629
69,543.416,1.00462,1.32611,1.11961,1,0.17688,0.20632,0.1554,1.70427,3.48686,1.60824,0.000246891,0.000246891,0.000246891
70,550.604,0.92012,1.288,1.07956,1,0.17688,0.20632,0.1554,1.70427,3.48686,1.60824,0.000242932,0.000242932,0.000242932
71,557.162,0.80136,1.19628,1.06122,1,0.17688,0.20632,0.1554,1.70427,3.48686,1.60824,0.000238754,0.000238754,0.000238754
72,563.768,0.87778,1.38837,1.14448,1,0.17235,0.21534,0.16036,1.66337,3.43026,1.56266,0.000234355,0.000234355,0.000234355
73,571.078,0.8727,1.27952,1.10248,1,0.17235,0.21534,0.16036,1.66337,3.43026,1.56266,0.000229737,0.000229737,0.000229737
74,577.622,0.8682,1.16992,1.03512,1,0.17235,0.21534,0.16036,1.66337,3.43026,1.56266,0.000224899,0.000224899,0.000224899
75,583.961,0.92347,1.36665,1.19428,1,0.12955,0.22272,0.1536,1.6292,3.35991,1.53226,0.00021984,0.00021984,0.00021984
76,590.261,1.02406,1.37932,1.19642,1,0.12955,0.22272,0.1536,1.6292,3.35991,1.53226,0.000214562,0.000214562,0.000214562
77,596.684,0.83476,1.12506,1.0374,1,0.12955,0.22272,0.1536,1.6292,3.35991,1.53226,0.000209064,0.000209064,0.000209064
78,603.329,0.82062,1.14211,0.99914,0.97866,0.2,0.27323,0.18409,1.61796,3.2729,1.51915,0.000203345,0.000203345,0.000203345
79,609.812,1.16756,1.56971,1.34968,0.97866,0.2,0.27323,0.18409,1.61796,3.2729,1.51915,0.000197407,0.000197407,0.000197407
80,616.761,0.88001,1.25702,1.08296,0.97866,0.2,0.27323,0.18409,1.61796,3.2729,1.51915,0.000191249,0.000191249,0.000191249
81,623.22,0.76418,1.15523,1.0888,0.98529,0.2,0.29783,0.195,1.64723,3.19446,1.5505,0.00018487,0.00018487,0.00018487
82,629.728,0.89538,1.14008,1.03599,0.98529,0.2,0.29783,0.195,1.64723,3.19446,1.5505,0.000178272,0.000178272,0.000178272
83,636.295,0.87869,1.21477,1.12069,0.98529,0.2,0.29783,0.195,1.64723,3.19446,1.5505,0.000171454,0.000171454,0.000171454
84,643.39,0.81638,1.11433,1.02801,0.99341,0.2,0.41612,0.25029,1.66095,3.14069,1.55161,0.000164416,0.000164416,0.000164416
85,649.656,0.80059,1.01713,1.00707,0.99341,0.2,0.41612,0.25029,1.66095,3.14069,1.55161,0.000157158,0.000157158,0.000157158
86,656.257,0.75011,1.16785,1.06156,0.99341,0.2,0.41612,0.25029,1.66095,3.14069,1.55161,0.000149679,0.000149679,0.000149679
87,662.974,0.84604,1.17202,1.12191,0.99341,0.2,0.41612,0.25029,1.66095,3.14069,1.55161,0.000141981,0.000141981,0.000141981
88,670.93,0.82813,1.09544,1.03526,0.99379,0.2,0.50621,0.28955,1.66446,3.04503,1.5525,0.000134063,0.000134063,0.000134063
89,677.095,0.77505,1.13908,1.03726,0.99379,0.2,0.50621,0.28955,1.66446,3.04503,1.5525,0.000125925,0.000125925,0.000125925
90,683.026,0.76389,0.94894,0.97253,0.99379,0.2,0.50621,0.28955,1.66446,3.04503,1.5525,0.000117567,0.000117567,0.000117567
91,688.786,0.90343,1.37395,1.08391,0.99379,0.2,0.50621,0.28955,1.66446,3.04503,1.5525,0.000108989,0.000108989,0.000108989
92,694.627,0.86708,1.36426,1.10771,0.99552,0.2,0.55569,0.3155,1.65004,2.94813,1.55899,0.000100191,0.000100191,0.000100191
93,701.818,0.85859,1.3185,1.08626,0.99552,0.2,0.55569,0.3155,1.65004,2.94813,1.55899,9.11731e-05,9.11731e-05,9.11731e-05
94,708.835,0.80617,1.3136,0.99678,0.99552,0.2,0.55569,0.3155,1.65004,2.94813,1.55899,8.19351e-05,8.19351e-05,8.19351e-05
95,716.428,0.79253,1.28007,0.97768,0.99552,0.2,0.55569,0.3155,1.65004,2.94813,1.55899,7.24772e-05,7.24772e-05,7.24772e-05
