epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1469,1.71786,4.12683,1.69449,0.00365,0.16667,0.05643,0.02073,1.74292,4.98639,1.97234,1e-05,1e-05,1e-05
2,52.952,1.64067,4.08407,1.64283,0.00591,0.16667,0.07206,0.03122,1.69393,4.90534,1.92515,2.9703e-05,2.9703e-05,2.9703e-05
3,71.0128,1.58668,4.21926,1.74154,0.00969,0.16667,0.09338,0.05398,1.62035,4.81113,1.81382,4.901e-05,4.901e-05,4.901e-05
4,90.2074,1.53057,3.89809,1.52124,0.01126,0.16667,0.11743,0.08047,1.48417,4.69684,1.64631,6.7921e-05,6.7921e-05,6.7921e-05
5,111.322,1.37891,3.70537,1.4357,0.01042,0.16667,0.10917,0.08537,1.31172,4.57573,1.41337,8.6436e-05,8.6436e-05,8.6436e-05
6,128.845,1.30984,3.4135,1.30335,0.01142,0.16667,0.11604,0.08777,1.1748,4.42806,1.29386,0.000104555,0.000104555,0.000104555
7,145.938,1.31222,3.05682,1.42485,0.01042,0.16667,0.10917,0.083,1.12118,4.34165,1.24783,0.000122278,0.000122278,0.000122278
8,164.799,1.25238,2.80198,1.29209,0.01126,0.16667,0.11743,0.08654,1.14161,4.27083,1.24323,0.000139605,0.000139605,0.000139605
9,188.297,1.20045,2.53531,1.2664,0.01082,0.16667,0.10639,0.07733,1.15422,4.23391,1.25274,0.000156536,0.000156536,0.000156536
10,208.41,1.24259,2.59524,1.29787,0.01302,0.16667,0.10917,0.08026,1.1471,4.20089,1.25745,0.000173071,0.000173071,0.000173071
11,225.72,1.18989,2.49986,1.3108,0.01437,0.16667,0.10917,0.08256,1.14002,4.20027,1.25147,0.00018921,0.00018921,0.00018921
12,242.946,1.19885,2.33462,1.29414,0.01515,0.16667,0.09722,0.07755,1.17241,4.23501,1.26329,0.000204953,0.000204953,0.000204953
13,259.607,1.09308,2.20658,1.16775,0.01412,0.16667,0.09722,0.07393,1.20072,4.24349,1.2576,0.0002203,0.0002203,0.0002203
14,276.336,1.13321,2.26944,1.22177,0.01157,0.16667,0.09521,0.07306,1.22686,4.23095,1.26039,0.000235251,0.000235251,0.000235251
15,292.775,1.20098,2.07879,1.17564,0.01302,0.16667,0.10365,0.08493,1.19559,4.19957,1.25759,0.000249806,0.000249806,0.000249806
16,309.977,1.10718,2.05001,1.10905,0.01016,0.16667,0.10639,0.09299,1.17346,4.15618,1.24779,0.000263965,0.000263965,0.000263965
17,326.259,1.11291,2.09154,1.19563,0.00765,0.16667,0.10365,0.08352,1.12952,4.12439,1.25082,0.000277728,0.000277728,0.000277728
18,343.048,1.03241,1.75088,1.15282,0.01035,0.2,0.12148,0.09623,1.11247,4.11131,1.25722,0.000291095,0.000291095,0.000291095
19,359.807,1.03202,1.61085,1.07796,0.00995,0.2,0.14254,0.11659,1.12742,4.08047,1.27662,0.000304066,0.000304066,0.000304066
20,377.191,0.99731,1.75857,1.16546,0.01272,0.23333,0.12374,0.11017,1.15862,4.10704,1.28776,0.000316641,0.000316641,0.000316641
21,398.352,1.00539,1.64749,1.13648,0.93592,0.10775,0.13303,0.11702,1.19362,4.14665,1.31058,0.00032882,0.00032882,0.00032882
22,414.841,1.11802,1.57394,1.12636,0.94234,0.06414,0.09711,0.0838,1.24833,4.16744,1.35658,0.000340603,0.000340603,0.000340603
