epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3424,1.6588,1.73782,1.51932,0.16778,0.23189,0.20208,0.10554,2.07452,3.15248,2.1223,0.0701442,0.00331731,0.00331731
2,147.221,1.58888,1.43359,1.45493,0.66738,0.52866,0.60029,0.36157,1.49096,1.89157,1.56129,0.0400125,0.00651896,0.00651896
3,222.535,1.50471,1.29535,1.40249,0.59668,0.5881,0.60676,0.38614,1.53388,1.50028,1.56554,0.00974887,0.00958861,0.00958861
4,299.076,1.43014,1.19724,1.35791,0.7211,0.66298,0.69607,0.45308,1.37067,1.15863,1.42773,0.009406,0.009406,0.009406
5,378.397,1.37898,1.11973,1.32417,0.70156,0.5977,0.64316,0.42582,1.3677,1.06777,1.43136,0.009208,0.009208,0.009208
6,457.682,1.34045,1.06477,1.30417,0.64291,0.43355,0.54811,0.35291,1.57259,1.59301,1.61209,0.00901,0.00901,0.00901
7,535.418,1.31093,1.01835,1.28169,0.75196,0.73405,0.75065,0.51115,1.28054,1.03189,1.34198,0.008812,0.008812,0.008812
8,613.17,1.27864,0.97409,1.26663,0.81697,0.75211,0.79375,0.5609,1.18275,0.87174,1.31018,0.008614,0.008614,0.008614
9,691.007,1.26376,0.9562,1.25733,0.83759,0.77683,0.81911,0.57602,1.15657,0.83211,1.26835,0.008416,0.008416,0.008416
10,769.031,1.23058,0.9158,1.23568,0.79606,0.70727,0.75725,0.51527,1.22749,0.9599,1.32823,0.008218,0.008218,0.008218
11,847.833,1.22702,0.91404,1.22987,0.77808,0.78935,0.77582,0.55081,1.1421,0.87689,1.26673,0.00802,0.00802,0.00802
12,944.122,1.19395,0.88063,1.21947,0.8337,0.82077,0.8462,0.60026,1.10391,0.78227,1.2419,0.007822,0.007822,0.007822
13,1022.93,1.17689,0.86138,1.20309,0.76905,0.69355,0.751,0.52822,1.14006,0.98435,1.28706,0.007624,0.007624,0.007624
