epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7404,1.65603,2.11566,1.57387,0.30744,0.11764,0.18946,0.11045,2.14869,4.29764,2.16062,0.0634219,0.00377281,0.00377281
2,171.144,1.5524,1.70977,1.50429,0.5834,0.37308,0.4657,0.23426,1.87821,3.26048,1.91533,0.0263681,0.0072648,0.0072648
3,253.232,1.4719,1.56592,1.45024,0.63534,0.66233,0.66022,0.39973,1.38856,1.59187,1.53639,0.00861069,0.00861069,0.00861069
4,333.189,1.38825,1.41334,1.38886,0.70895,0.57493,0.65314,0.43521,1.37854,1.54523,1.48739,0.00824104,0.00824104,0.00824104
5,414.385,1.35023,1.31282,1.36895,0.81196,0.66897,0.73951,0.5108,1.24924,1.22583,1.42482,0.00787138,0.00787138,0.00787138
6,496.389,1.30635,1.27225,1.3387,0.79223,0.71166,0.74922,0.52075,1.20569,1.15033,1.37342,0.00750173,0.00750173,0.00750173
7,578.581,1.26681,1.20183,1.31313,0.77382,0.78605,0.77282,0.53276,1.17286,1.0815,1.35313,0.00713208,0.00713208,0.00713208
8,659.406,1.24584,1.14873,1.29394,0.81308,0.75128,0.78972,0.56438,1.1401,1.0615,1.33442,0.00676242,0.00676242,0.00676242
9,740.105,1.23299,1.12136,1.28579,0.77898,0.7731,0.79635,0.56367,1.1138,1.02726,1.30644,0.00639277,0.00639277,0.00639277
10,820.664,1.21003,1.09261,1.27333,0.74346,0.74584,0.76542,0.53441,1.15321,1.04153,1.34566,0.00602311,0.00602311,0.00602311
11,903.226,1.17852,1.04592,1.25376,0.84444,0.79361,0.83336,0.59215,1.08646,0.90265,1.30811,0.00565346,0.00565346,0.00565346
12,984.55,1.16967,1.02197,1.25202,0.79386,0.62882,0.70216,0.49251,1.1953,1.29046,1.35955,0.0052838,0.0052838,0.0052838
13,1065.48,1.14292,0.98939,1.23742,0.81708,0.81846,0.83206,0.59777,1.08146,0.90342,1.30307,0.00491415,0.00491415,0.00491415
14,1146.84,1.12654,0.97125,1.22103,0.83872,0.8049,0.83628,0.589,1.12033,0.94068,1.32689,0.0045445,0.0045445,0.0045445
15,1237.76,1.10587,0.9467,1.21975,0.84551,0.81741,0.85337,0.61483,1.09192,0.88264,1.28423,0.00417484,0.00417484,0.00417484
16,1355.23,1.11746,0.92831,1.26276,0.87177,0.83821,0.85664,0.61186,1.08083,0.85347,1.309,0.00380519,0.00380519,0.00380519
17,1442.56,1.11056,0.91314,1.25242,0.83937,0.85705,0.87359,0.62584,1.04582,0.83231,1.26553,0.00343553,0.00343553,0.00343553
18,1523.43,1.09777,0.89104,1.24217,0.84006,0.83602,0.86657,0.63996,1.00573,0.81158,1.24767,0.00306588,0.00306588,0.00306588
19,1603.07,1.0666,0.85012,1.21745,0.86176,0.86344,0.88543,0.6538,1.02153,0.75907,1.23675,0.00269623,0.00269623,0.00269623
20,1684,1.05096,0.82798,1.20832,0.87594,0.86327,0.89369,0.66372,0.98195,0.74612,1.21957,0.00232657,0.00232657,0.00232657
21,1764.44,1.03801,0.79679,1.19761,0.88399,0.85132,0.89686,0.66344,0.97878,0.75142,1.22643,0.00195692,0.00195692,0.00195692
22,1856.89,1.01079,0.77152,1.18486,0.88429,0.8728,0.90639,0.67957,0.95509,0.71994,1.20462,0.00158726,0.00158726,0.00158726
23,1948.34,0.99133,0.75413,1.17239,0.8883,0.84945,0.89603,0.69098,0.92817,0.71081,1.18791,0.00121761,0.00121761,0.00121761
24,2036.6,0.97456,0.73033,1.15928,0.86905,0.88252,0.90568,0.69146,0.94154,0.69825,1.19961,0.000847955,0.000847955,0.000847955
25,2118.77,0.95378,0.70866,1.14775,0.8881,0.85858,0.90368,0.69607,0.91573,0.69088,1.18192,0.000478301,0.000478301,0.000478301
