epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.659,1.76758,4.08016,1.734,0.01138,0.17157,0.0938,0.05551,1.39754,4.38407,1.54482,8e-05,8e-05,8e-05
2,197.219,1.55675,3.2032,1.51483,0.01787,0.17647,0.15382,0.11174,1.34923,4.07355,1.43854,0.000168317,0.000168317,0.000168317
3,288.203,1.44621,2.52655,1.43755,0.03159,0.17647,0.1456,0.09727,1.38434,4.12635,1.47915,0.000254852,0.000254852,0.000254852
4,396.302,1.43957,2.28408,1.46991,0.54535,0.16667,0.15887,0.10753,1.43901,4.00116,1.4936,0.000339605,0.000339605,0.000339605
5,495.066,1.41753,2.04542,1.398,1,0.11211,0.16596,0.12349,1.43789,3.94727,1.46906,0.000422576,0.000422576,0.000422576
6,580.285,1.39355,1.8965,1.40764,0.99452,0.13235,0.21691,0.16096,1.47441,3.86135,1.55311,0.000503765,0.000503765,0.000503765
7,663.872,1.37812,1.79134,1.36956,0.99766,0.16176,0.25664,0.17462,1.54543,3.70318,1.61795,0.000583172,0.000583172,0.000583172
8,747.173,1.34859,1.74934,1.3551,0.98199,0.16176,0.41333,0.25606,1.41017,3.32724,1.45837,0.000660797,0.000660797,0.000660797
9,829.96,1.32252,1.61397,1.33481,0.81402,0.19723,0.35271,0.22011,1.52211,3.17784,1.55062,0.00073664,0.00073664,0.00073664
10,913.213,1.33689,1.66923,1.36064,0.72324,0.24768,0.47206,0.25744,1.63013,2.99445,1.69489,0.000810701,0.000810701,0.000810701
11,996.338,1.30766,1.58258,1.34259,0.66997,0.44699,0.57285,0.32242,1.4857,2.56534,1.55533,0.00088298,0.00088298,0.00088298
12,1079.42,1.27927,1.54165,1.31179,0.65388,0.51726,0.56011,0.32024,1.43858,2.41447,1.4424,0.0008911,0.0008911,0.0008911
13,1162.36,1.29255,1.48488,1.28737,0.69768,0.55406,0.57459,0.31931,1.54001,2.32894,1.4787,0.0008812,0.0008812,0.0008812
14,1245.34,1.26168,1.39788,1.27488,0.53763,0.54142,0.57243,0.33298,1.48926,2.26951,1.47001,0.0008713,0.0008713,0.0008713
15,1330.44,1.25269,1.42769,1.28176,0.68534,0.54009,0.58272,0.33328,1.45983,2.07751,1.48448,0.0008614,0.0008614,0.0008614
16,1459.82,1.21927,1.4127,1.26554,0.56824,0.61144,0.57164,0.32848,1.67852,2.13736,1.72181,0.0008515,0.0008515,0.0008515
17,2754.14,1.21659,1.3524,1.23995,0.55821,0.6234,0.59751,0.33528,1.50679,1.98897,1.5667,0.0008416,0.0008416,0.0008416
18,2822.16,1.18039,1.30657,1.23692,0.55208,0.66684,0.60144,0.34556,1.45004,1.89919,1.50493,0.0008317,0.0008317,0.0008317
19,2891.57,1.23052,1.31601,1.27981,0.56985,0.60464,0.58985,0.34981,1.43851,1.89713,1.44765,0.0008218,0.0008218,0.0008218
20,2963.76,1.18823,1.28935,1.22183,0.69884,0.56889,0.60943,0.35035,1.37909,1.82358,1.45724,0.0008119,0.0008119,0.0008119
21,3037.34,1.17904,1.33855,1.25979,0.60264,0.5726,0.59573,0.31854,1.45332,1.97365,1.54525,0.000802,0.000802,0.000802
22,3113.8,1.21713,1.26857,1.27615,0.69675,0.62319,0.65111,0.35391,1.52592,1.77896,1.48277,0.0007921,0.0007921,0.0007921
23,3193.17,1.16685,1.21944,1.21961,0.68284,0.63094,0.64621,0.34385,1.53266,1.88833,1.52928,0.0007822,0.0007822,0.0007822
24,3271.24,1.16053,1.16424,1.19102,0.58999,0.5382,0.54453,0.30831,1.51191,1.90932,1.45689,0.0007723,0.0007723,0.0007723
25,3350.95,1.14051,1.18431,1.21223,0.5507,0.57721,0.54752,0.30825,1.53796,1.98113,1.51347,0.0007624,0.0007624,0.0007624
