epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6163,1.73976,1.62233,1.51034,0.48747,0.21681,0.28119,0.15467,2.00009,4.53836,1.85282,0.0677832,0.00292752,0.00292752
2,135.322,1.64915,1.33737,1.43858,0.48342,0.44821,0.50314,0.3085,1.73212,2.17872,1.62597,0.0351781,0.00563647,0.00563647
3,201.963,1.57016,1.20361,1.39095,0.57152,0.52315,0.58693,0.33765,1.65846,1.51515,1.54614,0.00766943,0.00766943,0.00766943
4,268.023,1.50072,1.12545,1.35275,0.6386,0.71858,0.68905,0.44761,1.39995,1.08676,1.41321,0.00733915,0.00733915,0.00733915
5,334.44,1.4494,1.05968,1.32939,0.65976,0.67453,0.69057,0.48359,1.29295,1.02473,1.34246,0.00700886,0.00700886,0.00700886
6,399.73,1.39196,0.98753,1.29754,0.73599,0.70728,0.74786,0.51126,1.34256,0.96694,1.3384,0.00667858,0.00667858,0.00667858
7,465.45,1.36178,0.94433,1.2706,0.77738,0.72428,0.75403,0.52317,1.32595,0.94089,1.35313,0.00634829,0.00634829,0.00634829
8,531.987,1.3288,0.91758,1.26035,0.7256,0.71011,0.73741,0.51537,1.22609,0.84752,1.29392,0.00601801,0.00601801,0.00601801
9,597.877,1.30984,0.89165,1.24387,0.79486,0.80608,0.81068,0.5797,1.18526,0.80314,1.25671,0.00568772,0.00568772,0.00568772
10,663.627,1.27379,0.85094,1.22429,0.78,0.8182,0.81526,0.57818,1.1747,0.76701,1.25942,0.00535744,0.00535744,0.00535744
11,729.362,1.27564,0.84325,1.22546,0.78713,0.77627,0.79174,0.56728,1.17019,0.79377,1.23659,0.00502716,0.00502716,0.00502716
12,794.913,1.23415,0.80025,1.2037,0.80405,0.79529,0.81822,0.57237,1.20883,0.75684,1.28928,0.00469687,0.00469687,0.00469687
13,860.758,1.21468,0.78764,1.19337,0.87535,0.79915,0.84176,0.61525,1.12686,0.6955,1.22155,0.00436659,0.00436659,0.00436659
14,926.48,1.20001,0.77276,1.18769,0.84497,0.8002,0.83983,0.62045,1.1321,0.69752,1.21866,0.0040363,0.0040363,0.0040363
15,992.469,1.17692,0.74263,1.1722,0.87921,0.84591,0.87635,0.6385,1.10868,0.65701,1.20153,0.00370602,0.00370602,0.00370602
16,1086.42,1.20896,0.74633,1.22244,0.88389,0.8219,0.86887,0.64069,1.0932,0.64303,1.20413,0.00337573,0.00337573,0.00337573
17,1150.58,1.1839,0.72045,1.20219,0.87445,0.82313,0.86701,0.6296,1.13737,0.66352,1.22511,0.00304545,0.00304545,0.00304545
18,1214.4,1.16296,0.69546,1.18974,0.8788,0.84044,0.87836,0.65677,1.07421,0.62647,1.17912,0.00271516,0.00271516,0.00271516
19,1278.34,1.14955,0.67992,1.17604,0.87939,0.85374,0.8892,0.66159,1.06976,0.60857,1.17851,0.00238488,0.00238488,0.00238488
20,1342.85,1.12759,0.65828,1.16388,0.87564,0.87416,0.87958,0.65616,1.04662,0.58642,1.17084,0.00205459,0.00205459,0.00205459
21,1407.5,1.10707,0.63403,1.14982,0.88949,0.8732,0.89877,0.67101,1.03787,0.57029,1.1639,0.00172431,0.00172431,0.00172431
22,1472.12,1.08091,0.61273,1.14185,0.91181,0.84692,0.90288,0.68724,1.02018,0.55184,1.1595,0.00139403,0.00139403,0.00139403
23,1536.67,1.05226,0.58929,1.12522,0.91176,0.85089,0.90438,0.68224,1.02544,0.55038,1.16116,0.00106374,0.00106374,0.00106374
24,1600.71,1.03803,0.57761,1.1142,0.88029,0.89471,0.91021,0.69701,0.99586,0.54609,1.1482,0.000733456,0.000733456,0.000733456
25,1664.69,1.01323,0.55665,1.10537,0.89973,0.87283,0.90897,0.69897,0.9783,0.52464,1.13708,0.000403172,0.000403172,0.000403172
